date,exercise,set_number,weight_kg,reps
2026-04-27,machine_row,1,52,8
2026-04-27,machine_row,2,52,8
2026-04-27,machine_row,3,52,8
2026-04-27,bicep_curl,1,10,12
2026-04-27,bicep_curl,2,10,12
2026-04-27,bicep_curl,3,10,8
2026-04-28,deadlift,1,120,5
2026-04-28,deadlift,2,120,5
2026-04-28,deadlift,3,120,5
2026-04-28,deadlift,4,120,5
2026-04-28,deadlift,5,120,5
2026-04-28,knee_tuck,1,0,5
2026-04-28,knee_tuck,2,0,5
2026-04-28,knee_tuck,3,0,5
2026-04-28,knee_tuck,4,0,4
2026-04-28,knee_tuck,5,0,5
2026-04-28,rdl,1,25,10
2026-04-28,rdl,2,25,10
2026-04-28,rdl,3,25,9
2026-04-28,rdl,4,25,10
2026-04-30,bench_press,1,98,3
2026-04-30,bench_press,2,98,3
2026-04-30,bench_press,3,90,5
2026-04-30,bench_press,4,90,3
2026-04-30,bench_press,5,80,8
2026-04-30,incline_dumbbell,1,28,10
2026-04-30,incline_dumbbell,2,28,7
2026-04-30,incline_dumbbell,3,28,5
2026-04-30,incline_dumbbell,4,24,8
2026-04-30,lateral_raise,1,8,10
2026-04-30,lateral_raise,2,8,8
2026-04-30,lateral_raise,3,8,8
2026-04-30,lateral_raise,4,8,8
2026-04-30,tricep_dip,1,10,8
2026-04-30,tricep_dip,2,10,7
2026-04-30,tricep_dip,3,10,4
2026-05-06,bench_press,1,90,5
2026-05-06,bench_press,2,90,5
2026-05-06,bench_press,3,90,5
2026-05-06,bench_press,4,90,5
2026-05-06,bench_press,5,90,5
2026-05-06,incline_dumbbell,1,28,10
2026-05-06,incline_dumbbell,2,28,8
2026-05-06,incline_dumbbell,3,28,5
2026-05-06,incline_dumbbell,4,24,6
2026-05-06,tricep_dip,1,10,6
2026-05-06,tricep_dip,2,10,4
2026-05-06,tricep_dip,3,0,7
2026-05-11,pull_up,1,0,10
2026-05-11,pull_up,2,0,10
2026-05-11,pull_up,3,0,9
2026-05-11,pull_up,4,0,7
2026-05-11,reverse_grip_row,1,65,10
2026-05-11,reverse_grip_row,2,65,10
2026-05-11,reverse_grip_row,3,65,10
2026-05-11,lat_pulldown,1,40,8
2026-05-11,lat_pulldown,2,40,8
2026-05-11,lat_pulldown,3,40,8
2026-05-11,bicep_curl,1,10,12
2026-05-11,bicep_curl,2,10,12
2026-05-11,bicep_curl,3,10,8
2026-05-12,deadlift,1,130,5
2026-05-12,deadlift,2,130,5
2026-05-12,deadlift,3,130,5
2026-05-13,bench_press,1,92.5,5
2026-05-13,bench_press,2,92.5,5
2026-05-13,bench_press,3,92.5,5
2026-05-13,bench_press,4,80,10
2026-05-13,bench_press,5,80,5
2026-05-13,incline_dumbbell,1,28,8
2026-05-13,incline_dumbbell,2,28,8
2026-05-13,incline_dumbbell,3,28,8
2026-05-13,lateral_raise,1,8,10
2026-05-13,lateral_raise,2,8,10
2026-05-13,tricep_dip,1,10,8
2026-05-13,tricep_dip,2,10,8
2026-05-13,bench_press,1,92.5,5
2026-05-13,bench_press,2,92.5,5
2026-05-13,bench_press,3,92.5,5
2026-05-13,bench_press,4,80,10
2026-05-13,bench_press,5,80,5
2026-05-13,incline_dumbbell,1,28,8
2026-05-13,incline_dumbbell,2,28,8
2026-05-13,incline_dumbbell,3,28,8
2026-05-13,lateral_raise,1,8,10
2026-05-13,lateral_raise,2,8,10
2026-05-13,lateral_raise,3,8,8
2026-05-13,tricep_dip,1,10,8
2026-05-13,tricep_dip,2,10,8
2026-05-13,tricep_dip,3,10,5
2026-05-14,knee_tuck,1,0,5
2026-05-14,knee_tuck,2,0,5
2026-05-14,knee_tuck,3,0,5
2026-05-14,knee_tuck,4,0,5
2026-05-14,knee_tuck,5,0,5
2026-05-15,knee_tuck,1,0,5
2026-05-15,knee_tuck,2,0,5
2026-05-15,knee_tuck,3,0,5
2026-05-26,bench_press,1,95,5
2026-05-26,bench_press,2,95,5
2026-05-26,bench_press,3,95,4
2026-05-27,pull_up,1,0,10
2026-05-27,pull_up,2,0,10
2026-05-27,pull_up,3,0,9
2026-05-27,pull_up,4,0,5
2026-05-28,deadlift,1,135,5
2026-05-28,deadlift,2,135,5
2026-05-28,deadlift,3,135,3
